log_best21_v19.txt:val4.csv val accuracy = 0.96971;best21_v19_val4_0,96971
log_best21_v19.txt:val5.csv val accuracy = 0.96979;best21_v19_val5_0,96979
log_best21_v19.txt:val6.csv val accuracy = 0.96971;best21_v19_val6_0,96971
log_best21_v19.txt:val7.csv val accuracy = 0.97618;best21_v19_val7_0,97618
log_best21_v20.txt:val0.csv val accuracy = 0.96804;best21_v20_val0_0,96804
log_best21_v20.txt:val1.csv val accuracy = 0.96993;best21_v20_val1_0,96993
log_best21_v20.txt:val2.csv val accuracy = 0.97117;best21_v20_val2_0,97117
log_best21_v20.txt:val3.csv val accuracy = 0.97015;best21_v20_val3_0,97015
log_best21_v20.txt:val4.csv val accuracy = 0.97414;best21_v20_val4_0,97414
log_best21_v20.txt:val5.csv val accuracy = 0.96681;best21_v20_val5_0,96681
log_best21_v20.txt:val6.csv val accuracy = 0.96441;best21_v20_val6_0,96441
log_best21_v20.txt:val7.csv val accuracy = 0.97008;best21_v20_val7_0,97008
log_best21_v21.txt:val0.csv val accuracy = 0.91539;best21_v21_val0_0,91539
log_best21_v21.txt:val1.csv val accuracy = 0.93558;best21_v21_val1_0,93558
log_best21_v21.txt:val2.csv val accuracy = 0.91488;best21_v21_val2_0,91488
log_best21_v21.txt:val3.csv val accuracy = 0.92541;best21_v21_val3_0,92541
log_best21_v21.txt:val4.csv val accuracy = 0.92033;best21_v21_val4_0,92033
log_best21_v21.txt:val5.csv val accuracy = 0.91721;best21_v21_val5_0,91721
log_best21_v21.txt:val6.csv val accuracy = 0.93217;best21_v21_val6_0,93217
log_best21_v21.txt:val7.csv val accuracy = 0.93652;best21_v21_val7_0,93652
log_best22_v00.txt:val0.csv val accuracy = 0.96768;best22_v00_val0_0,96768
log_best22_v00.txt:val1.csv val accuracy = 0.38616;best22_v00_val1_0,38616
log_best22_v00.txt:val2.csv val accuracy = 0.38892;best22_v00_val2_0,38892
log_best22_v00.txt:val3.csv val accuracy = 0.38383;best22_v00_val3_0,38383
log_best22_v00.txt:val4.csv val accuracy = 0.97037;best22_v00_val4_0,97037
log_best22_v00.txt:val5.csv val accuracy = 0.38579;best22_v00_val5_0,38579
log_best22_v00.txt:val6.csv val accuracy = 0.38144;best22_v00_val6_0,38144
log_best22_v00.txt:val7.csv val accuracy = 0.96921;best22_v00_val7_0,96921
log_best23_v00.txt:val0.csv val accuracy = 0.97393;best23_v00_val0_0,97393
log_best23_v00.txt:val1.csv val accuracy = 0.97168;best23_v00_val1_0,97168
log_best23_v00.txt:val2.csv val accuracy = 0.97422;best23_v00_val2_0,97422
log_best23_v00.txt:val3.csv val accuracy = 0.97385;best23_v00_val3_0,97385
log_best23_v00.txt:val4.csv val accuracy = 0.97516;best23_v00_val4_0,97516
log_best23_v00.txt:val5.csv val accuracy = 0.97182;best23_v00_val5_0,97182
log_best23_v00.txt:val6.csv val accuracy = 0.97306;best23_v00_val6_0,97306
log_best23_v00.txt:val7.csv val accuracy = 0.9708;best23_v00_val7_0,9708
log_lstm+_v00.txt:val0.csv val accuracy = 0.95461;lstm+_v00_val0_0,95461
log_lstm+_v00.txt:val1.csv val accuracy = 0.95795;lstm+_v00_val1_0,95795
log_lstm+_v00.txt:val2.csv val accuracy = 0.95809;lstm+_v00_val2_0,95809
log_lstm+_v00.txt:val3.csv val accuracy = 0.95395;lstm+_v00_val3_0,95395
log_lstm+_v00.txt:val4.csv val accuracy = 0.95671;lstm+_v00_val4_0,95671
log_lstm+_v00.txt:val5.csv val accuracy = 0.95461;lstm+_v00_val5_0,95461
log_lstm+_v00.txt:val6.csv val accuracy = 0.95838;lstm+_v00_val6_0,95838
log_lstm+_v00.txt:val7.csv val accuracy = 0.95962;lstm+_v00_val7_0,95962
log_lstm+_v01.txt:val0.csv val accuracy = 0.95621;lstm+_v01_val0_0,95621
log_lstm+_v01.txt:val1.csv val accuracy = 0.95875;lstm+_v01_val1_0,95875
log_lstm+_v01.txt:val2.csv val accuracy = 0.95889;lstm+_v01_val2_0,95889
log_lstm+_v01.txt:val3.csv val accuracy = 0.95541;lstm+_v01_val3_0,95541
log_lstm+_v01.txt:val4.csv val accuracy = 0.95969;lstm+_v01_val4_0,95969
log_lstm+_v01.txt:val5.csv val accuracy = 0.95621;lstm+_v01_val5_0,95621
log_lstm+_v01.txt:val6.csv val accuracy = 0.95795;lstm+_v01_val6_0,95795
log_lstm+_v01.txt:val7.csv val accuracy = 0.95911;lstm+_v01_val7_0,95911
log_lstm+_v02.txt:val0.csv val accuracy = 0.95664;lstm+_v02_val0_0,95664
log_lstm+_v02.txt:val1.csv val accuracy = 0.95926;lstm+_v02_val1_0,95926
log_lstm+_v02.txt:val2.csv val accuracy = 0.95759;lstm+_v02_val2_0,95759
log_lstm+_v02.txt:val3.csv val accuracy = 0.95584;lstm+_v02_val3_0,95584
log_lstm+_v02.txt:val4.csv val accuracy = 0.95838;lstm+_v02_val4_0,95838
log_lstm+_v02.txt:val5.csv val accuracy = 0.95504;lstm+_v02_val5_0,95504
log_lstm+_v02.txt:val6.csv val accuracy = 0.95955;lstm+_v02_val6_0,95955
log_lstm+_v02.txt:val7.csv val accuracy = 0.95693;lstm+_v02_val7_0,95693
log_lstm+_v03.txt:val0.csv val accuracy = 0.95562;lstm+_v03_val0_0,95562
log_lstm+_v03.txt:val1.csv val accuracy = 0.95715;lstm+_v03_val1_0,95715
log_lstm+_v03.txt:val2.csv val accuracy = 0.95969;lstm+_v03_val2_0,95969
log_lstm+_v03.txt:val3.csv val accuracy = 0.95519;lstm+_v03_val3_0,95519
log_lstm+_v03.txt:val4.csv val accuracy = 0.95708;lstm+_v03_val4_0,95708
log_lstm+_v03.txt:val5.csv val accuracy = 0.95548;lstm+_v03_val5_0,95548
log_lstm+_v03.txt:val6.csv val accuracy = 0.95708;lstm+_v03_val6_0,95708
log_lstm+_v03.txt:val7.csv val accuracy = 0.95533;lstm+_v03_val7_0,95533
log_lstm+_v04.txt:val0.csv val accuracy = 0.95156;lstm+_v04_val0_0,95156
log_lstm+_v04.txt:val1.csv val accuracy = 0.95606;lstm+_v04_val1_0,95606
log_lstm+_v04.txt:val2.csv val accuracy = 0.95533;lstm+_v04_val2_0,95533
log_lstm+_v04.txt:val3.csv val accuracy = 0.95003;lstm+_v04_val3_0,95003
log_lstm+_v04.txt:val4.csv val accuracy = 0.9557;lstm+_v04_val4_0,9557
log_lstm+_v04.txt:val5.csv val accuracy = 0.95287;lstm+_v04_val5_0,95287
log_lstm+_v04.txt:val6.csv val accuracy = 0.95388;lstm+_v04_val6_0,95388
log_lstm+_v04.txt:val7.csv val accuracy = 0.95352;lstm+_v04_val7_0,95352
